Year,Habitat,Count_COTS
2005,Backreef,5
2005,Forereef,5
2005,Fringing Reef,0
2006,Backreef,3
2006,Forereef,0
2006,Fringing Reef,0
2007,Backreef,2
2007,Forereef,13
2007,Fringing Reef,0
2008,Backreef,6
2008,Forereef,108
2008,Fringing Reef,13
2009,Backreef,12
2009,Forereef,70
2009,Fringing Reef,7
2010,Backreef,5
2010,Forereef,5
2010,Fringing Reef,4
2011,Backreef,3
2011,Forereef,0
2011,Fringing Reef,7
2012,Backreef,2
2012,Forereef,0
2012,Fringing Reef,3
2013,Backreef,7
2013,Forereef,0
2013,Fringing Reef,1
2014,Backreef,0
2014,Forereef,0
2014,Fringing Reef,1
2015,Backreef,0
2015,Forereef,0
2015,Fringing Reef,0
2016,Backreef,0
2016,Forereef,0
2016,Fringing Reef,0
2017,Backreef,0
2017,Forereef,0
2017,Fringing Reef,0
2018,Backreef,1
2018,Forereef,0
2018,Fringing Reef,0
