Year,Site,Total_percent,Mean_perc_cov,N
2005,LTER 2,152,0.76,50
2005,LTER 3,212,1.06,100
2005,LTER 6,300,1.5,50
2006,LTER 1,272,1.36,50
2006,LTER 2,336,1.68,50
2006,LTER 5,12,0.06,50
2007,LTER 1,192,0.96,100
2007,LTER 2,312,1.56,100
2007,LTER 3,244,1.22,100
2007,LTER 5,4,0.02,50
2007,LTER 6,4,0.02,50
2008,LTER 1,44,0.22,50
2008,LTER 2,100,0.5,100
2008,LTER 3,212,1.06,100
2008,LTER 6,4,0.02,50
2009,LTER 1,12,0.06,100
2009,LTER 2,160,0.8,100
2009,LTER 3,16,0.08,100
2009,LTER 4,4,0.02,50
2009,LTER 6,4,0.02,50
2010,LTER 1,68,0.34,50
2010,LTER 2,316,1.58,100
2010,LTER 3,52,0.26,150
2010,LTER 5,12,0.06,50
2011,LTER 1,228,1.14,50
2011,LTER 2,324,1.62,100
2011,LTER 3,24,0.12,100
2012,LTER 1,464,2.32,100
2012,LTER 2,612,3.06,100
2012,LTER 3,100,0.5,200
2013,LTER 1,672,3.36,100
2013,LTER 2,568,2.84,100
2013,LTER 3,252,1.26,100
2013,LTER 5,16,0.08,50
2013,LTER 6,4,0.02,50
2014,LTER 1,616,3.08,99
2014,LTER 2,776,3.88,100
2014,LTER 3,592,2.96,150
2014,LTER 4,40,0.2,50
2015,LTER 1,780,3.9,50
2015,LTER 2,856,4.28,100
2015,LTER 3,952,4.76,150
2015,LTER 4,68,0.34,50
2015,LTER 5,68,0.34,50
2015,LTER 6,8,0.04,50
2016,LTER 1,744,3.72,50
2016,LTER 2,788,3.94,100
2016,LTER 3,1132,5.66,150
2016,LTER 4,240,1.2,50
2016,LTER 5,96,0.48,50
2016,LTER 6,80,0.4,50
2017,LTER 1,672,3.36,50
2017,LTER 2,1156,5.78,100
2017,LTER 3,1132,5.66,100
2017,LTER 4,96,0.48,50
2017,LTER 6,196,0.98,100
2018,LTER 1,512,2.56,50
2018,LTER 2,1060,5.3,100
2018,LTER 3,1304,6.52,150
2018,LTER 4,68,0.34,50
2018,LTER 5,48,0.24,50
2018,LTER 6,180,0.9,100
2019,LTER 1,736,3.68,50
2019,LTER 2,688,3.44,100
2019,LTER 3,1544,7.72,200
2019,LTER 4,140,0.7,50
2019,LTER 5,16,0.08,50
2019,LTER 6,192,0.96,100
2020,LTER 1,908,4.54,50
2020,LTER 2,1484,7.42,100
2020,LTER 3,1436,7.18,150
2020,LTER 4,260,1.3,50
2020,LTER 5,52,0.26,50
2020,LTER 6,836,4.18,100
