Year,Habitat,Shannon_index,Species_richness,Simpson_index,Pielou_evenness
2005,Fringing,1.6021705981956564,7,0.7797783933518005,0.8233528146062997
2005,Outer 10,1.306041842678245,4,0.7115764425936942,0.9421100448126939
2005,Outer 17,1.0977140054572176,4,0.6500335323329864,0.7918332759937442
2006,Backreef,0.9480776581121378,4,0.5369934640522877,0.6838934678680018
2006,Outer 10,1.0042424730540764,3,0.6122448979591837,0.914100892018565
2006,Outer 17,0.6615632381579821,2,0.46875,0.954434002924965
2007,Backreef,1.135744067185775,6,0.5961976121284268,0.6338708329389148
2007,Fringing,0.8337874571868538,5,0.4046639231824417,0.518061275147819
2007,Outer 10,1.2740876379813268,6,0.6678733459357278,0.711081849914957
2007,Outer 17,1.4277698706765014,6,0.7460326904606074,0.7968535370942554
2008,Backreef,1.6873112718408656,14,0.6962203905843914,0.6393613556272589
2008,Fringing,2.0153033021784648,18,0.8190549947479927,0.6972470917185262
2008,Outer 10,1.5328896882763257,12,0.7027549931723946,0.6168801908140509
2008,Outer 17,1.1375569028558152,8,0.6339862380997265,0.5470492341596976
2009,Backreef,1.7780229262478984,12,0.7763092640349137,0.7155290627917915
2009,Fringing,1.2762023493242292,14,0.6014138674197385,0.48358265468612743
2009,Outer 10,1.457169347370763,10,0.6843842272305257,0.6328406067616851
2009,Outer 17,1.0145302014289743,5,0.598028388268143,0.6303630563136216
2010,Backreef,1.7859507690597034,13,0.7967820443482964,0.6962908502907879
2010,Fringing,1.5742845161536996,15,0.6932903907901949,0.5813350563120825
2010,Outer 10,1.772842545682914,10,0.7973238505113631,0.7699357348734032
2010,Outer 17,0.9559646141859952,9,0.5037516799999999,0.4350782455496416
2011,Backreef,2.053946446721211,19,0.8287298565379774,0.6975680125327901
2011,Fringing,1.7871490566185104,17,0.714031900464944,0.630785203792634
2011,Outer 10,1.8299819784451183,11,0.8117135513971839,0.7631617607342412
2011,Outer 17,0.589697150514323,10,0.2301851356645792,0.2561022184624418
2012,Backreef,1.9876191690525538,21,0.8046745789625747,0.6528508853883892
2012,Fringing,1.9603961360678928,14,0.8098365706443346,0.7428395412515324
2012,Outer 10,1.7989943532666286,10,0.8206200638693221,0.781293320598806
2012,Outer 17,0.9278299712973841,10,0.5266471752676447,0.4029514366789064
2013,Backreef,1.6268304413872825,16,0.7316442398468543,0.586755052539159
2013,Fringing,1.8624318423151953,15,0.7955026283940466,0.6877390387952049
2013,Outer 10,1.687293673301047,10,0.7719267532649416,0.7327823316649128
2013,Outer 17,0.90900031317212,9,0.40197529665849707,0.41370387103267175
2014,Backreef,1.7241460072182038,18,0.7578908612754767,0.596513580825039
2014,Fringing,1.7849083865038224,19,0.7665711805555555,0.6061964262574473
2014,Outer 10,2.0358730139501975,12,0.8509809307637815,0.8192955715756517
2014,Outer 17,0.8071065863423192,8,0.3972967863894141,0.3881362231949613
2015,Backreef,1.7912661672623058,22,0.7780385293937967,0.5795022858117507
2015,Fringing,1.5681105355571503,20,0.6862556442662968,0.5234481563657291
2015,Outer 10,1.5553049709344562,10,0.7516771593103424,0.6754603665535317
2015,Outer 17,0.7247330996460059,7,0.3650027483337287,0.37243913856857375
2016,Backreef,1.8411485017534535,23,0.7841368433246594,0.587195630085977
2016,Fringing,1.4407327225368243,14,0.6826482414484469,0.5459270271884791
2016,Outer 10,1.3633275959748226,9,0.6606419078141201,0.6204771282995739
2016,Outer 17,1.1194908685800087,5,0.6408367268476017,0.6955787855692427
2017,Backreef,1.471456925862643,16,0.6775349892274627,0.5307159024559386
2017,Fringing,1.1046432055951325,9,0.596480551526849,0.5027447885797519
2017,Outer 10,1.2401202830854163,9,0.5806269369834711,0.564403063699962
2017,Outer 17,1.312699599582677,7,0.6908351517556041,0.6745941482549732
2018,Backreef,1.2547459210964163,9,0.646643363653401,0.5710594784159903
2018,Fringing,0.8935418582620306,4,0.5307192625925388,0.6445542038706703
2018,Outer 10,1.1829540654868322,8,0.5582309454394002,0.5688806546257636
2018,Outer 17,1.3400398766624753,7,0.6962014396764082,0.6886442713262112
2019,Backreef,1.4525927598066801,7,0.7114888339516717,0.7464850114029543
2019,Fringing,0.9183458831538222,6,0.5415076953239877,0.5125385962377382
2019,Outer 10,1.202300451135697,8,0.5532416256041556,0.5781842995040112
2019,Outer 17,0.9703475910093934,7,0.5617089786973957,0.4986600185422081
2020,Backreef,1.5112349645785152,11,0.7219999099139678,0.6302339312821144
2020,Fringing,1.2991561934501574,7,0.6611594721714871,0.6676342142934311
2020,Outer 10,0.843033959155609,7,0.414109147951483,0.4332337541714756
2020,Outer 17,1.2286523780890501,7,0.6711599733902875,0.631402420448615
