Year,Site,Count_COTS
2005,LTER 1,2
2005,LTER 2,0
2005,LTER 3,0
2005,LTER 4,0
2005,LTER 5,3
2005,LTER 6,5
2006,LTER 1,0
2006,LTER 2,0
2006,LTER 3,1
2006,LTER 4,1
2006,LTER 5,1
2006,LTER 6,0
2007,LTER 1,4
2007,LTER 2,4
2007,LTER 3,2
2007,LTER 4,1
2007,LTER 5,0
2007,LTER 6,4
2008,LTER 1,9
2008,LTER 2,30
2008,LTER 3,7
2008,LTER 4,41
2008,LTER 5,1
2008,LTER 6,39
2009,LTER 1,9
2009,LTER 2,26
2009,LTER 3,3
2009,LTER 4,20
2009,LTER 5,20
2009,LTER 6,11
2010,LTER 1,3
2010,LTER 2,2
2010,LTER 3,3
2010,LTER 4,3
2010,LTER 5,2
2010,LTER 6,1
2011,LTER 1,2
2011,LTER 2,2
2011,LTER 3,2
2011,LTER 4,3
2011,LTER 5,0
2011,LTER 6,1
2012,LTER 1,1
2012,LTER 2,0
2012,LTER 3,0
2012,LTER 4,3
2012,LTER 5,0
2012,LTER 6,1
2013,LTER 1,0
2013,LTER 2,0
2013,LTER 3,0
2013,LTER 4,2
2013,LTER 5,6
2013,LTER 6,0
2014,LTER 1,0
2014,LTER 2,0
2014,LTER 3,0
2014,LTER 4,1
2014,LTER 5,0
2014,LTER 6,0
2015,LTER 1,0
2015,LTER 2,0
2015,LTER 3,0
2015,LTER 4,0
2015,LTER 5,0
2015,LTER 6,0
2016,LTER 1,0
2016,LTER 2,0
2016,LTER 3,0
2016,LTER 4,0
2016,LTER 5,0
2016,LTER 6,0
2017,LTER 1,0
2017,LTER 2,0
2017,LTER 3,0
2017,LTER 4,0
2017,LTER 5,0
2017,LTER 6,0
2018,LTER 1,0
2018,LTER 2,0
2018,LTER 3,0
2018,LTER 4,0
2018,LTER 5,0
2018,LTER 6,1
